 sampling:128, subject:ERIK                                                                            , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4 RAW_CQ GYROX GYROY MARKER MARKER_HARDWARE SYNC TIME_STAMP_s TIME_STAMP_ms CQ_AF3 CQ_F7 CQ_F3 CQ_FC5 CQ_T7 CQ_P7 CQ_O1 CQ_O2 CQ_P8 CQ_T8 CQ_FC6 CQ_F4 CQ_F8 CQ_AF4 CQ_CMS CQ_DRL, chan:40, units:emotiv,,,,,,,,,
4134.871582,4111.281738,4194.871582,4198.461426,4178.974121,4195.384277,4192.820313,4198.974121,4164.615234,4170.769043,4190.256348,4091.281982,4165.12793,4195.384277
4132.307617,4109.230469,4199.487305,4197.436035,4176.410156,4199.487305,4197.94873,4195.897461,4165.641113,4171.794922,4192.307617,4091.794678,4161.538574,4197.94873
4126.666504,4115.897461,4194.358887,4194.358887,4181.025391,4196.922852,4198.461426,4194.358887,4167.692383,4166.666504,4189.230469,4094.871582,4159.487305,4200
4121.538574,4097.436035,4196.922852,4196.410156,4181.025391,4196.922852,4198.974121,4196.410156,4162.563965,4154.871582,4186.666504,4092.307617,4161.025391,4199.487305
4128.717773,4109.230469,4192.307617,4196.922852,4177.94873,4194.871582,4194.871582,4195.384277,4165.641113,4156.410156,4189.743652,4088.717773,4165.641113,4198.974121
4128.717773,4122.05127,4195.384277,4200.512695,4178.461426,4197.94873,4195.384277,4193.333008,4168.205078,4160,4188.717773,4089.743408,4163.589844,4198.461426
4128.717773,4117.436035,4196.922852,4197.94873,4183.07666,4195.897461,4193.333008,4193.846191,4171.794922,4168.205078,4186.666504,4090.769043,4167.179199,4194.871582
4128.205078,4103.589844,4196.410156,4196.410156,4181.025391,4192.820313,4195.897461,4196.922852,4168.205078,4167.692383,4187.179199,4092.820313,4169.230469,4194.871582
4136.922852,4122.563965,4194.358887,4197.436035,4178.974121,4192.820313,4196.410156,4196.922852,4166.666504,4170.256348,4189.743652,4094.871582,4164.615234,4197.436035
4144.102539,4130.256348,4198.974121,4198.461426,4177.94873,4195.897461,4194.871582,4195.897461,4172.820313,4179.487305,4191.794922,4095.384521,4165.641113,4200.512695
4135.384277,4117.94873,4199.487305,4197.94873,4177.436035,4194.871582,4194.358887,4196.410156,4178.461426,4180.512695,4190.256348,4094.358887,4173.333008,4201.025391
4128.205078,4122.05127,4195.897461,4196.922852,4181.538574,4194.871582,4195.384277,4196.410156,4178.461426,4181.025391,4188.717773,4091.794678,4176.922852,4197.436035
4140,4134.358887,4196.922852,4198.974121,4184.102539,4200,4196.410156,4196.922852,4183.07666,4188.717773,4192.820313,4087.692139,4178.461426,4193.333008
4147.179199,4142.05127,4193.333008,4198.461426,4183.589844,4197.436035,4195.384277,4198.974121,4190.256348,4191.281738,4195.384277,4088.717773,4180.512695,4196.922852
4142.05127,4135.897461,4197.436035,4198.461426,4182.05127,4195.384277,4197.436035,4197.436035,4181.025391,4178.974121,4189.743652,4089.743408,4169.230469,4196.922852
4142.05127,4134.871582,4198.974121,4195.897461,4181.025391,4197.94873,4196.922852,4194.358887,4177.436035,4180,4187.179199,4090.769043,4168.717773,4191.794922
4133.333008,4122.563965,4197.94873,4197.436035,4175.897461,4200,4198.461426,4197.436035,4177.436035,4175.897461,4186.666504,4087.692139,4175.897461,4192.820313
4127.179199,4134.358887,4192.307617,4195.384277,4177.94873,4194.358887,4194.871582,4199.487305,4178.461426,4176.410156,4186.666504,4086.666504,4177.436035,4200
4128.205078,4135.384277,4197.94873,4196.922852,4177.94873,4196.410156,4197.94873,4195.897461,4177.436035,4183.07666,4186.153809,4088.205078,4170.256348,4198.461426
4130.256348,4133.846191,4193.846191,4195.384277,4178.461426,4197.436035,4197.436035,4195.897461,4184.615234,4191.281738,4188.717773,4088.717773,4177.94873,4194.871582
4130.256348,4132.820313,4195.897461,4197.94873,4179.487305,4197.94873,4198.974121,4200,4179.487305,4181.025391,4190.769043,4087.692139,4181.025391,4196.410156
4142.563965,4157.436035,4196.410156,4195.897461,4186.153809,4194.871582,4196.410156,4198.461426,4182.05127,4187.179199,4191.281738,4087.179443,4180.512695,4197.436035
4140.512695,4144.615234,4202.05127,4197.94873,4183.07666,4197.436035,4197.94873,4197.94873,4184.102539,4188.205078,4185.641113,4090.769043,4174.871582,4195.384277
4132.307617,4124.615234,4197.436035,4196.922852,4177.436035,4195.384277,4196.410156,4198.974121,4181.025391,4184.615234,4186.153809,4092.820313,4173.846191,4195.384277
4126.666504,4112.307617,4200,4197.94873,4177.436035,4197.436035,4198.461426,4196.922852,4174.871582,4179.487305,4191.281738,4088.205078,4176.922852,4196.410156
