 sampling:128, subject:ethan                                                                           , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4 RAW_CQ GYROX GYROY MARKER MARKER_HARDWARE SYNC TIME_STAMP_s TIME_STAMP_ms CQ_AF3 CQ_F7 CQ_F3 CQ_FC5 CQ_T7 CQ_P7 CQ_O1 CQ_O2 CQ_P8 CQ_T8 CQ_FC6 CQ_F4 CQ_F8 CQ_AF4 CQ_CMS CQ_DRL, chan:40, units:emotiv,,,,,,,,,
3119.487061,2546.153809,2787.179443,4041.025635,2854.358887,4028.205078,4201.025391,4205.641113,3245.640869,2857.94873,3839.487061,2855.897461,2514.871826,3774.358887
3119.487061,2583.5896,2799.487061,4046.666504,2867.179443,4027.692139,4198.461426,4203.07666,3269.743408,2883.5896,3838.974365,2873.333252,2544.615234,3778.974365
3094.871826,2590.256348,2791.794922,4041.53833,2880,4028.205078,4202.563965,4203.07666,3266.153809,2886.666504,3832.820313,2872.307617,2541.53833,3773.845947
3065.128174,2571.281982,2764.615234,4025.640869,2861.025635,4023.076904,4206.666504,4202.05127,3234.358887,2865.640869,3823.5896,2855.384521,2523.076904,3765.128174
3065.640869,2583.5896,2756.410156,4018.461426,2850.769043,4017.435791,4205.12793,4201.025391,3222.05127,2861.53833,3821.025635,2844.615234,2533.333252,3769.230713
3097.435791,2628.205078,2785.128174,4028.205078,2880,4020,4203.589844,4201.025391,3258.461426,2902.05127,3835.384521,2877.435791,2580,3783.5896
3138.461426,2681.025635,2828.717773,4043.5896,2927.692139,4027.179443,4203.07666,4200,3308.205078,2961.53833,3857.435791,2942.05127,2640.512695,3802.05127
3123.5896,2690.769043,2816.410156,4037.435791,2937.435791,4025.128174,4202.563965,4200,3296.923096,2966.666504,3849.230713,2941.53833,2645.640869,3794.871582
3080.512695,2669.743408,2773.846191,4018.974365,2920,4018.974365,4203.07666,4201.538574,3267.179443,2944.615234,3832.820313,2905.128174,2619.487061,3783.5896
3075.384521,2668.717773,2769.743408,4012.307617,2914.871826,4018.974365,4206.153809,4201.538574,3274.358887,2952.820557,3842.05127,2913.846191,2629.743408,3791.281982
3077.94873,2683.076904,2772.820557,4010.769043,2916.410156,4017.435791,4207.179199,4198.461426,3276.410156,2964.615234,3844.102539,2926.666504,2646.153809,3789.230713
3037.435791,2670.769287,2737.94873,3997.435791,2883.076904,4009.743408,4201.025391,4201.025391,3255.384521,2938.461426,3818.974365,2900.512695,2624.102539,3768.717773
3008.717773,2663.076904,2719.487061,3984.615234,2858.461426,4008.205078,4195.897461,4203.589844,3249.230713,2922.05127,3812.820313,2889.230713,2617.94873,3767.179443
3008.717773,2677.435791,2724.615234,3980,2876.410156,4010.256348,4201.538574,4195.384277,3251.281982,2934.871826,3820.512695,2896.410156,2633.846191,3775.384521
3017.94873,2704.615234,2733.333252,3981.025635,2913.846191,4011.794678,4206.153809,4192.820313,3265.128174,2973.846191,3829.743408,2917.94873,2659.487061,3789.230713
3005.128174,2713.333252,2728.205078,3974.358887,2911.794922,4009.230713,4203.589844,4195.384277,3269.230713,2992.307617,3831.281982,2924.615234,2676.923096,3786.666504
2991.794678,2717.94873,2723.076904,3967.179443,2896.923096,4006.153809,4203.07666,4194.358887,3267.179443,2983.076904,3831.794678,2923.5896,2686.153809,3775.384521
2993.846191,2738.461426,2730.256348,3968.717773,2909.230713,4005.640869,4204.615234,4191.794922,3271.794678,2982.05127,3835.897461,2944.615234,2697.94873,3781.025635
3019.487061,2784.615234,2762.05127,3981.53833,2951.281982,4009.230713,4203.589844,4195.384277,3287.692139,3011.794678,3851.794678,2981.025635,2733.333252,3806.153809
3026.666504,2811.794922,2773.846191,3982.563965,2969.743408,4010.769043,4204.102539,4194.871582,3287.692139,3027.179443,3858.461426,2985.640869,2758.974365,3805.128174
2984.102539,2786.153809,2736.410156,3963.076904,2936.410156,4002.05127,4206.666504,4193.846191,3269.230713,3000.512695,3846.153809,2958.974365,2741.53833,3784.102539
2965.640869,2784.615234,2721.53833,3956.410156,2923.076904,4000,4202.05127,4195.384277,3274.358887,2998.461426,3844.615234,2962.05127,2743.076904,3785.640869
2971.281982,2806.666504,2724.615234,3958.461426,2928.205078,4004.102539,4200,4194.871582,3287.179443,3009.743408,3843.076904,2968.205078,2759.487061,3786.153809
2942.563965,2796.410156,2698.461426,3943.076904,2904.102539,3999.487061,4202.563965,4193.846191,3270.256348,2988.717773,3831.794678,2946.153809,2746.153809,3768.717773
2880,2745.640869,2645.128174,3915.897461,2856.410156,3989.743408,4202.563965,4193.333008,3214.358887,2937.435791,3809.743408,2901.53833,2700,3749.743408
2886.153809,2757.435791,2649.230713,3916.410156,2871.281982,3991.794678,4202.05127,4194.358887,3219.487061,2953.846191,3808.717773,2911.794922,2714.358887,3765.640869
2922.563965,2811.794922,2684.102539,3927.179443,2901.53833,3994.871582,4203.589844,4200.512695,3269.743408,3007.692139,3825.128174,2957.435791,2767.692139,3783.5896
2924.615234,2843.076904,2700,3927.179443,2908.717773,3992.820313,4198.974121,4199.487305,3283.076904,3029.743408,3835.384521,2975.384521,2794.871826,3782.563965
2916.923096,2861.53833,2702.563965,3926.666504,2921.025635,3995.897217,4193.333008,4191.794922,3274.871826,3035.384521,3835.897461,2976.410156,2801.53833,3780.512695
2941.025635,2906.666504,2722.563965,3937.94873,2968.205078,4000.512695,4197.436035,4188.205078,3307.179443,3073.333252,3851.281982,3011.794678,2837.94873,3801.025635
2965.128174,2946.666504,2747.179443,3945.128174,3020,4001.025635,4204.102539,4189.743652,3342.563965,3113.333252,3871.794678,3050.769043,2883.076904,3815.897461
2966.153809,2956.410156,2751.794922,3940.512695,3042.05127,3999.487061,4204.102539,4190.256348,3336.923096,3116.923096,3868.717773,3055.384521,2900,3810.256348
2976.410156,2973.333252,2758.461426,3941.53833,3038.974365,3997.94873,4200,4191.794922,3336.410156,3120.512695,3860,3067.179443,2916.410156,3811.794678
3013.846191,3026.666504,2797.94873,3957.94873,3054.358887,4003.5896,4195.897461,4192.307617,3372.820313,3164.102539,3874.871582,3118.461426,2966.153809,3833.333252
3023.076904,3057.94873,2822.563965,3964.102539,3084.102539,4009.230713,4197.436035,4190.769043,3402.563965,3204.615234,3882.563965,3149.743408,2995.384521,3837.435791
3006.153809,3056.410156,2814.871826,3953.845947,3093.846191,4006.153809,4202.563965,4189.743652,3400.512695,3211.794678,3878.974365,3150.769043,2998.461426,3835.897461
3037.435791,3094.358887,2841.53833,3956.923096,3120.512695,4008.205078,4203.07666,4189.743652,3415.897461,3247.692139,3895.384521,3188.717773,3043.5896,3858.461426
3076.923096,3147.692139,2885.128174,3969.743408,3157.435791,4017.435791,4198.461426,4191.281738,3456.923096,3304.615234,3915.384521,3235.384521,3097.435791,3868.205078
