
1444234887.307:  AA AA 03 D4 01 01 29
1444234888.926:  AA AA 04 D0 02 82 28 83
1444234888.942:  A7 23 80 02 FF DC A2 AA AA 04 80 02 FF D6 A8
1444234888.942:  AA AA 04 80 02 FF FA 84
1444234888.942:  AA AA 04 80 02 FF CE B0
1444234888.942:  AA AA 04 80 02
1444234888.942:  00 15 68
1444234888.957:  AA AA 04 80 02 00 51 2C
1444234888.957:  AA AA 04 80 02 00 05 78
1444234888.957:  AA AA 04 80 02 00 2B 52
1444234888.957:  AA AA 04 80 02 00 6C 11
1444234888.957:  AA
1444234888.957:  AA 04 80 02 00 52 2B
1444234888.957:  AA AA 04 80 02 00 63 1A
1444234888.957:  AA AA 04 80 02 00 33 4A
1444234888.957:  AA AA 04 80 02 FF EB 93
1444234888.957:  AA AA 04 80 02
1444234888.957:  00 37 46
1444234888.957:  AA AA 04 80 02 00 4A 33
1444234888.957:  AA AA 04 80 02 00 30 4D
1444234888.957:  AA 04 79 AA AA 04 80 02 00 2A 53
1444234888.957:  AA AA 04 80 02 FF
1444234888.957:  E2 9C
1444234888.957:  AA AA 04 80 02 00 0A 73
1444234888.957:  AA AA 04 80 02 00 36 47
1444234888.957:  AA AA 85 AA AA 00 80 02 FF E2 9C AA AA 04 80 02 00 30
1444234888.973:  4D AA AA 04 80 02 00 21 5C AA AA 04 80 02 FF FA 84 AA AA 04 80 02 00 3A 43 AA AA 04 80 02 00 3D
1444234888.973:  40 AA AA 04
1444234888.973:  80 02 00 41 3C AA AA 04 80 02 00 6C 11 AA AA 04 80 02 00 28 55 AA AA 04 80 02 00 23 5A AA AA 04
1444234888.973:  80 02 00 4D
1444234888.973:  30 AA AA 04 80 02 FF FD 81 AA AA 04 80 02 00 0C 71 AA AA 04 80 02 00 42 3B AA AA 04 80 02 00 0D
1444234888.973:  70 AA AA 04
1444234888.989:  80 02 00 33 4A AA AA 04 80 02 00 29 54 AA AA 04 80 02 FF E4 9A
1444234888.989:  AA AA 04 80 02 00 34 49
1444234888.989:  AA AA 04 80 02 00 2A
1444234889.004:  53
