# H:M:S.f Gyro(x) Gyro(y) F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4
14:35:23.076785 2045 2037 2132.5599 2132.82 2131.5195 2128.9185 2130.219 2131.5195 2130.9993 2131.2594 2133.3402 2135.421 2128.6584 2130.9993 2157.2694 2507.364 
14:35:23.077621 2043 2037 2130.219 2130.9993 2130.7392 2130.7392 2131.2594 2131.7796 2131.2594 2131.7796 2134.1205 2134.9008 2131.7796 2130.7392 2158.83 2506.0635 
14:35:23.078696 2046 2038 2132.82 2129.6988 2131.2594 2129.9589 2129.6988 2132.82 2129.1786 2131.5195 2131.7796 2136.2013 2134.6407 2134.1205 2159.3502 2508.1443 
14:35:23.079696 2046 2038 2130.9993 2130.4791 2132.5599 2131.5195 2130.4791 2128.9185 2129.4387 2131.7796 2132.0397 2136.9816 2132.5599 2133.6003 2157.5295 2503.2024 
14:35:23.080633 2046 2039 2131.7796 2130.219 2129.9589 2130.4791 2130.7392 2127.0978 2125.017 2130.4791 2132.2998 2136.2013 2134.1205 2135.9412 2161.9512 2506.3236 
14:35:23.081672 2046 2038 2129.9589 2130.9993 2130.7392 2133.3402 2132.5599 2129.6988 2128.6584 2131.7796 2131.2594 2135.1609 2133.8604 2133.3402 2161.9512 2502.9423 
14:35:23.082649 2045 2037 2130.9993 2131.7796 2132.2998 2132.0397 2129.9589 2132.5599 2128.6584 2132.82 2132.5599 2135.421 2131.2594 2135.421 2161.1709 2507.1039 
14:35:23.083559 2043 2037 2128.1382 2132.0397 2133.0801 2133.3402 2132.2998 2134.1205 2133.8604 2131.7796 2134.9008 2135.1609 2132.0397 2135.6811 2160.6507 2502.4221 
14:35:23.084603 2044 2036 2131.2594 2130.4791 2131.5195 2131.5195 2134.3806 2135.1609 2134.1205 2130.219 2132.82 2134.6407 2134.3806 2134.1205 2161.6911 2503.9827 
14:35:23.091381 2048 2038 2132.0397 2130.7392 2132.2998 2131.7796 2134.3806 2132.0397 2134.6407 2131.7796 2130.9993 2134.3806 2133.3402 2131.7796 2159.8704 2501.1216 
14:35:23.099377 2047 2040 2133.6003 2131.5195 2132.2998 2129.9589 2130.9993 2128.3983 2130.219 2133.0801 2131.5195 2135.421 2135.9412 2137.7619 2160.9108 2505.0231 
14:35:23.107420 2045 2040 2134.3806 2132.2998 2132.5599 2129.4387 2132.5599 2129.6988 2129.9589 2131.7796 2132.5599 2135.421 2135.6811 2139.3225 2161.6911 2508.4044 
14:35:23.115374 2044 2039 2134.9008 2132.5599 2131.7796 2128.6584 2131.5195 2130.9993 2126.5776 2129.6988 2132.5599 2134.6407 2131.7796 2137.2417 2162.7315 2512.0458 
14:35:23.123407 2043 2037 2132.0397 2134.1205 2130.219 2130.7392 2130.4791 2133.6003 2128.3983 2129.4387 2132.82 2134.6407 2131.7796 2135.1609 2161.9512 2508.9246 
14:35:23.131438 2043 2037 2131.2594 2133.8604 2130.9993 2131.2594 2130.219 2135.1609 2130.9993 2131.5195 2134.3806 2134.9008 2133.3402 2134.9008 2160.9108 2509.1847 
14:35:23.139460 2045 2037 2132.2998 2132.0397 2131.5195 2130.219 2129.9589 2131.7796 2130.219 2132.0397 2134.6407 2135.1609 2130.219 2132.2998 2160.3906 2510.7453 
14:35:23.147462 2047 2039 2130.4791 2131.5195 2132.2998 2132.2998 2131.7796 2126.0574 2129.1786 2131.5195 2132.82 2135.6811 2129.9589 2131.2594 2158.0497 2505.0231 
14:35:23.154464 2046 2038 2129.6988 2132.82 2132.0397 2132.5599 2132.82 2126.8377 2128.9185 2130.219 2131.2594 2135.1609 2131.7796 2132.0397 2157.2694 2502.162 
14:35:23.162467 2045 2038 2128.6584 2130.7392 2133.6003 2133.6003 2132.82 2129.1786 2132.0397 2130.4791 2132.0397 2134.9008 2133.3402 2132.5599 2158.5699 2497.7403 
14:35:23.170386 2044 2038 2131.2594 2128.9185 2133.3402 2131.2594 2130.219 2131.7796 2130.219 2131.5195 2132.0397 2135.421 2134.3806 2132.2998 2158.5699 2499.0408 
14:35:23.178403 2043 2036 2130.219 2130.7392 2132.82 2131.2594 2131.5195 2135.6811 2132.0397 2134.1205 2132.0397 2135.6811 2133.3402 2134.3806 2157.2694 2499.8211 
14:35:23.186400 2044 2037 2133.6003 2130.9993 2131.5195 2128.3983 2131.2594 2135.1609 2129.9589 2133.0801 2132.5599 2135.9412 2133.8604 2140.623 2161.9512 2506.8438 
14:35:23.194400 2046 2038 2133.6003 2129.6988 2132.2998 2130.219 2132.82 2128.3983 2133.0801 2132.82 2134.6407 2135.421 2134.9008 2138.5422 2162.7315 2503.7226 
14:35:23.202398 2047 2038 2135.421 2128.6584 2131.7796 2129.4387 2130.7392 2127.618 2130.4791 2132.5599 2134.3806 2134.9008 2135.1609 2138.022 2162.9916 2511.0054 
14:35:23.210560 2048 2038 2132.0397 2129.9589 2132.0397 2132.0397 2132.2998 2130.9993 2132.82 2133.3402 2132.2998 2134.9008 2134.3806 2138.2821 2161.6911 2506.0635 
14:35:23.217563 2046 2036 2133.8604 2130.7392 2131.5195 2130.7392 2133.6003 2133.3402 2130.7392 2132.0397 2133.0801 2135.1609 2135.6811 2140.623 2163.7719 2506.3236 
14:35:23.225560 2044 2036 2132.0397 2131.7796 2131.7796 2131.5195 2135.421 2135.1609 2132.82 2132.0397 2134.3806 2134.1205 2132.2998 2135.6811 2161.6911 2505.0231 
14:35:23.233562 2043 2037 2131.5195 2132.82 2131.2594 2130.4791 2132.0397 2134.6407 2129.1786 2132.0397 2132.5599 2133.8604 2129.1786 2133.6003 2160.9108 2508.6645 
14:35:23.241561 2044 2037 2131.5195 2134.1205 2132.5599 2131.2594 2132.2998 2132.0397 2130.219 2132.82 2131.5195 2135.6811 2129.1786 2132.2998 2160.6507 2505.5433 
14:35:23.249560 2046 2039 2133.8604 2132.0397 2131.7796 2129.4387 2131.5195 2128.6584 2128.9185 2132.0397 2133.8604 2136.4614 2130.7392 2133.6003 2161.431 2507.364 
14:35:23.257560 2046 2039 2131.7796 2130.4791 2130.7392 2128.3983 2130.7392 2124.7569 2126.5776 2130.219 2134.1205 2133.8604 2129.4387 2131.7796 2159.6103 2506.8438 
14:35:23.265621 2044 2038 2130.7392 2130.7392 2131.5195 2128.1382 2130.219 2125.5372 2125.017 2130.9993 2132.0397 2133.6003 2130.9993 2132.0397 2158.83 2505.8034 
14:35:23.273560 2043 2037 2129.9589 2132.0397 2132.82 2130.4791 2131.5195 2133.6003 2128.3983 2132.2998 2132.2998 2136.4614 2132.0397 2132.82 2159.0901 2505.0231 
14:35:23.281558 2042 2036 2129.4387 2132.0397 2132.82 2132.82 2131.2594 2137.2417 2127.3579 2132.5599 2134.6407 2136.7215 2131.2594 2133.6003 2158.5699 2503.4625 
14:35:23.288609 2043 2037 2130.4791 2131.7796 2132.82 2131.5195 2130.219 2133.3402 2125.5372 2131.2594 2134.3806 2134.9008 2131.2594 2133.6003 2158.3098 2501.6418 
14:35:23.296582 2045 2039 2129.1786 2131.2594 2133.0801 2132.82 2130.9993 2127.3579 2129.9589 2131.5195 2132.0397 2134.1205 2132.5599 2133.8604 2158.0497 2499.8211 
14:35:23.304371 2046 2039 2130.7392 2131.2594 2131.7796 2132.5599 2130.9993 2124.4968 2130.4791 2131.7796 2130.7392 2133.6003 2133.3402 2133.3402 2158.3098 2504.763 
