H:M:S.f Gyro(x) Gyro(y) F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4
14:45:08.573320 2047 2039 2114.613 2111.7519 2105.2494 2094.0651 1986.3837 2107.0701 2120.5953 2110.7115 2119.2948 2107.8504 2094.3252 2087.3025 2108.3706 2135.421 
14:45:08.574291 2048 2039 2115.6534 2114.613 2106.0297 2097.4464 1990.0251 2105.5095 2122.416 2104.7292 2118.5145 2114.0928 2100.0474 2090.1636 2108.8908 2133.6003 
14:45:08.575289 2048 2039 2111.7519 2119.5549 2104.7292 2108.6307 1998.8685 2115.6534 2127.8781 2107.0701 2121.3756 2113.3125 2108.1105 2097.1863 2113.5726 2135.6811 
14:45:08.576282 2048 2040 2111.7519 2118.2544 2108.6307 2115.1332 2004.3306 2122.6761 2128.1382 2115.9135 2126.0574 2116.1736 2109.6711 2096.1459 2118.2544 2134.6407 
14:45:08.577281 2049 2040 2116.1736 2122.416 2112.5322 2118.2544 2010.573 2120.5953 2127.3579 2123.9766 2132.0397 2138.022 2116.4337 2099.2671 2124.2367 2136.2013 
14:45:08.578282 2045 2039 2128.3983 2137.7619 2118.5145 2128.1382 2023.578 2126.0574 2133.3402 2139.0624 2143.224 2156.4891 2140.1028 2124.4968 2144.2644 2132.0397 
14:45:08.579289 2047 2039 2123.7165 2140.8831 2110.1913 2127.8781 2022.7977 2127.618 2130.4791 2144.7846 2140.1028 2143.7442 2153.3679 2143.4841 2162.2113 2137.7619 
14:45:08.580280 2046 2040 2124.4968 2148.9462 2112.2721 2132.2998 2021.7573 2126.3175 2126.3175 2147.1255 2136.4614 2140.8831 2161.9512 2150.2467 2172.0951 2136.9816 
14:45:08.581302 2045 2040 2125.7973 2146.3452 2114.613 2133.3402 2020.1967 2122.1559 2124.2367 2145.3048 2136.9816 2144.2644 2154.4083 2139.8427 2161.1709 2139.0624 
14:45:08.586345 2044 2041 2132.0397 2152.5876 2116.1736 2150.2467 2043.6057 2149.2063 2152.3275 2171.0547 2164.2921 2168.7138 2163.7719 2151.027 2176.5168 2133.3402 
14:45:08.593294 2044 2042 2115.9135 2139.0624 2100.8277 2138.8023 2037.6234 2151.8073 2158.3098 2159.8704 2161.1709 2164.2921 2147.1255 2135.421 2162.7315 2130.4791 
14:45:08.601406 2043 2041 2120.5953 2147.9058 2105.5095 2143.7442 2038.6638 2155.1886 2163.5118 2158.0497 2161.1709 2170.2744 2146.3452 2131.2594 2154.6684 2128.1382 
14:45:08.609412 2041 2039 2125.7973 2149.2063 2109.1509 2139.0624 2027.9997 2144.0043 2150.2467 2156.4891 2153.628 2167.4133 2141.9235 2129.9589 2149.2063 2135.1609 
14:45:08.617325 2041 2040 2120.5953 2141.6634 2106.0297 2129.9589 2017.5957 2140.623 2147.6457 2145.3048 2145.3048 2159.0901 2132.5599 2121.8958 2143.224 2134.3806 
14:45:08.625324 2041 2039 2106.2898 2124.7569 2099.007 2115.6534 2005.371 2133.0801 2142.1836 2127.3579 2132.0397 2141.9235 2115.3933 2097.1863 2125.5372 2128.3983 
14:45:08.633933 2042 2039 2107.8504 2123.1963 2104.209 2112.012 2003.8104 2128.1382 2133.8604 2121.8958 2128.9185 2127.3579 2110.9716 2091.7242 2116.9539 2128.6584 
14:45:08.641390 2040 2041 2105.2494 2123.7165 2101.8681 2111.4918 2000.6892 2123.1963 2122.6761 2113.8327 2125.2771 2113.0524 2111.4918 2097.4464 2112.5322 2133.3402 
14:45:08.649325 2038 2038 2108.1105 2116.6938 2100.0474 2104.7292 1990.8054 2117.7342 2120.3352 2106.0297 2121.1155 2108.1105 2106.2898 2096.9262 2108.6307 2138.022 
14:45:08.664954 2041 2039 2115.1332 2122.9362 2106.5499 2101.608 1994.1867 2112.2721 2120.8554 2122.1559 2122.416 2123.9766 2119.0347 2120.0751 2130.219 2137.2417 
